attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
date	Date of event	Date		YYYY-MM-DD		
event_number	Identification number for each MVCO discrete sampling event	character			NotApplicable	Cruise was for project other than NES-LTER
ship	Name of vessel from which samples were collected	character				
cruise	Identifier for research cruise generally including abbreviation for research vessel and voyage number	character			NA	Vessel was other than R/V Tioga
Tioga_data_at_WHOI_DLA	Link to data location	character			NA	Vessel was other than R/V Tioga
ADCP	Indication of whether ADCP data were collected	categorical				
underway	Indication of whether underway data were collected	categorical				
CTD	Indication of whether CTD data were collected	categorical				
Niskin_samples	Indication of whether Niskin samples were collected	categorical				
bucket_sample	Indication of whether a bucket sample of water was collected	categorical				
bongo_or_other_net	Indication of whether bongo net or other type of plankton net was deployed	categorical				
comment	Additional information as free-form text	character				
