"date","event_number","ship","cruise_ID","Tioga_data_at_WHOI_DLA","Tioga_data_at_WHOI_DLA_alternate","ADCP","underway","CTD","Niskin_samples","bucket_sample","bongo_or_other_net","comment"
2017-09-01,"MVCO_386","Tioga","ti984","https://dlacruisedata.whoi.edu/tioga/cruise/ti984/",NA,"Yes","Yes","No","No","Yes","No",NA
2017-10-17,"MVCO_387","Tioga","ti995","https://dlacruisedata.whoi.edu/tioga/cruise/ti995/",NA,"No","Yes","Yes","Yes","Yes","No",NA
2017-11-15,"MVCO_388","Tioga","ti1001","https://dlacruisedata.whoi.edu/tioga/cruise/ti1001/",NA,"No","Yes","Yes","Yes","Yes","No",NA
2017-12-04,"MVCO_389","Tioga","ti1004","https://dlacruisedata.whoi.edu/tioga/cruise/ti1004/",NA,"No","Yes","Yes","Yes","Yes","No",NA
2018-01-22,"MVCO_390","Tioga","ti1006","https://dlacruisedata.whoi.edu/tioga/cruise/ti1006/",NA,"No","Yes","Yes","Yes","Yes","No","TOI, salts, and DIC for Stanley lab"
2018-02-27,"MVCO_391","Tioga","ti1009","https://dlacruisedata.whoi.edu/tioga/cruise/ti1009/",NA,"Yes","Yes","Yes","Yes","Yes","No","CTD data not available at WHOI DLA"
2018-03-24,"MVCO_392","Tioga","ti1011","https://dlacruisedata.whoi.edu/tioga/cruise/ti1011/",NA,"Yes","Yes","Yes","Yes","Yes","Yes",NA
2018-04-11,"MVCO_393","Tioga","ti1014","https://dlacruisedata.whoi.edu/tioga/cruise/ti1014/",NA,"Yes","Yes","No","No","Yes","No",NA
2018-05-23,"MVCO_394","Discovery","NA","NA","NA","No","No","No","No","Yes","Yes","LTER participants include Sarah Glancy"
2018-06-08,"MVCO_395","Discovery","NA","NA","NA","No","No","No","No","Yes","No",NA
2018-06-21,"MVCO_396","Discovery","NA","NA","NA","No","No","No","No","Yes","Yes","notable crab megalopae bongo"
2018-07-02,"MVCO_397","Discovery","NA","NA","NA","No","No","No","No","Yes","No",NA
2018-08-10,"MVCO_398","RR","NA","NA","NA","No","No","No","No","Yes","Yes","LTER participants include Emily Peacock"
2018-08-28,"MVCO_399","Discovery","NA","NA","NA","No","No","No","No","Yes","No","bucket sample could be questionable due to black particles on all filters except <10"
2018-09-05,"MVCO_400","Discovery","NA","NA","NA","No","No","No","No","Yes","No","powered down the tower for major cable work"
2018-09-17,"MVCO_401","RR","NA","NA","NA","No","No","No","No","Yes","No",NA
2018-09-20,"MVCO_402","RR","NA","NA","NA","No","No","No","No","Yes","No",NA
2018-10-08,"MVCO_403","Tioga","ti1021","https://dlacruisedata.whoi.edu/tioga/cruise/ti1021/",NA,"No","Yes","Yes","Yes","No","Yes","12 bottle rosette but software calling for 24 bottle so needed to double trip per niskin; LTER participants include Taylor Crockford and Sarah Glancy; notable salps bongo"
2018-10-31,"MVCO_404","RR","NA","NA","NA","No","No","No","No","Yes","No",NA
2018-11-20,"MVCO_405","RR","NA","NA","NA","No","No","No","No","Yes","No",NA
2018-12-05,"MVCO_406","Tioga","ti1030","https://dlacruisedata.whoi.edu/tioga/cruise/ti1030/",NA,"Yes","Yes","Yes","Yes","No","Yes",NA
2018-12-20,"MVCO_407","Hurricane","NA","NA","NA","No","No","No","No","Yes","No",NA
2019-01-18,"MVCO_408","Richard Edwards","NA","NA","NA","No","No","No","No","Yes","No",NA
